Caso,S,T,n,m,Rec[us],Mem[us],DP[us],E.Rec[bytes],E.Mem[bytes],E.DP[bytes]
1,String 1,String 2,236,329,0,36771.7,1033.42,4520,312848,1336
2,String 1,String 3,236,409,0,41546.6,1301.08,5160,388688,1656
3,String 1,String 4,236,468,0,46625.7,1396.66,5632,444620,1892
4,String 2,String 1,329,236,0,32531.3,1049.7,4520,312848,964
5,String 2,String 3,329,409,0,55218.3,1857.44,5904,541208,1656
6,String 2,String 4,329,468,0,64547.1,1944.48,6376,619088,1892
7,String 3,String 1,409,236,0,41537.7,1293.74,5160,388688,964
8,String 3,String 2,409,329,0,55728.2,1826.78,5904,541208,1336
9,String 3,String 4,409,468,0,78803.5,2494.96,7016,769168,1892
10,String 4,String 1,468,236,0,47044.2,1502.84,5632,444620,964
11,String 4,String 2,468,329,0,63481.5,2050.5,6376,619088,1336
12,String 4,String 3,468,409,0,81781.9,2390.78,7016,769168,1656
